Time Since Start,Pressure,Flow,Apparent Power Ext,Apparent Power Int,Active Power Ext,Active Power Int,Reactive Power Ext,Reactive Power Int,World Time
131,5.470752,0.540194,35.70758,23.69901,16.75455,11.585331,30.43859,-15.370252,10:23.2
132,5.470862,0.540194,35.67604,23.71293,16.66592,11.395583,30.49595,-15.2082,10:24.2
133,5.399158,3.495148,35.67292,23.76519,16.76238,11.960921,30.24453,-15.364022,10:25.2
134,5.397071,1.220961,35.71779,23.86585,16.75936,12.19036,30.38082,-15.486251,10:26.2
135,5.430518,0.8423977,35.68638,23.85889,16.89541,12.208202,30.32556,-15.43264,10:27.2
136,5.447571,0.715986,35.73671,23.72465,16.8902,11.603893,30.36265,-15.254858,10:28.2
137,5.457031,0.6524447,35.73144,23.76143,16.94589,11.619236,30.51279,-15.26367,10:29.2
138,5.461878,0.6152109,35.73391,23.84709,16.91696,12.137698,30.46064,-15.42339,10:30.2
139,5.465711,0.5925655,35.80477,23.78706,16.76818,11.903745,30.46645,-15.31976,10:31.2
140,5.46792,0.5923214,35.75414,23.72519,16.90966,11.879236,30.4151,-15.27571,10:32.2
141,5.469348,0.5920772,35.7441,23.71439,16.68132,11.935275,30.52067,-15.354126,10:33.2
142,5.469641,0.5929317,35.75742,23.69476,16.83657,11.935563,30.33596,-15.23642,10:34.2
143,5.46698,0.5569187,35.72748,23.6989,16.88312,11.522449,30.33298,-15.25163,10:35.2
144,5.465125,0.574559,35.73759,23.6928,16.76611,11.542306,30.28991,-15.207686,10:36.2
145,5.463123,0.574742,35.72128,23.7345,16.8465,11.930288,30.3215,-15.253288,10:37.2
146,5.460999,0.56992,35.75722,23.74379,16.90296,12.068503,30.43232,-15.381985,10:38.2
147,5.461377,0.6490264,35.78218,23.72223,16.92993,12.064415,30.34476,-15.3588,10:39.2
148,5.463672,0.65275,35.77429,23.71966,16.96223,11.913538,30.32137,-15.209002,10:40.2
149,5.464905,0.6445706,35.66935,23.67374,16.66295,11.822527,30.33312,-15.15573,10:41.2
150,5.465613,0.6255265,35.66205,23.68872,16.87528,11.613691,30.44683,-15.35908,10:42.2
151,5.466223,0.5983641,35.71898,23.73606,16.91963,11.677683,30.44822,-15.18372,10:43.2
152,5.466907,0.5931148,35.77477,23.7667,16.8936,11.991541,30.28016,-15.295038,10:44.2
153,5.46731,0.5940914,35.69057,23.74663,16.8955,11.737378,30.39354,-15.412859,10:45.2
154,5.467517,0.5929927,35.66893,23.76882,16.75917,11.222947,30.34169,-15.24623,10:46.2
155,5.467517,0.5925045,35.69092,23.80325,16.84809,11.5877,30.31282,-15.181401,10:47.2
156,5.467615,0.5945798,35.7009,23.77258,16.81266,12.067186,30.38022,-15.271338,10:48.2
157,5.468652,0.5688215,35.62354,23.76239,16.7314,11.915903,30.41892,-15.234852,10:49.2
158,5.470374,0.540194,35.58319,23.66011,16.95446,11.577245,30.19553,-15.125172,10:50.2
159,5.471192,0.5403161,35.56603,23.67015,16.88037,12.094607,30.26728,-15.27435,10:51.2
160,5.471375,0.5492279,35.53412,23.75199,16.86051,11.938934,30.25468,-15.2952,10:52.2
161,5.471423,0.540194,35.53362,23.76252,16.78632,11.588036,30.29686,-15.264977,10:53.2
162,5.471423,0.540194,35.53957,23.7369,16.7175,11.502746,30.22645,-15.362369,10:54.2
163,5.442139,1.587805,35.54692,23.72308,16.7604,11.762773,30.21554,-15.156233,10:55.2
164,5.411682,1.622047,35.52749,23.79962,16.91498,12.03728,30.1479,-15.29932,10:56.2
165,5.438245,0.7561496,35.51204,23.80634,16.54856,12.190876,30.3534,-15.250272,10:57.2
166,5.452246,0.7467674,34.49637,23.27276,17.07407,11.947414,29.94417,-14.57437,10:58.2
167,5.460315,0.5999512,35.51761,23.70766,16.89575,11.560685,30.32814,-15.25251,10:59.2
168,5.465003,0.5893305,35.52424,23.728,16.79681,12.007769,30.19358,-15.342346,11:00.2
169,5.467298,0.5631449,35.52665,23.70436,16.75835,11.931561,30.11182,-15.18732,11:01.2
170,5.469947,0.540194,35.54054,23.6922,16.89509,11.951992,30.20909,-15.193499,11:02.2
171,5.470886,0.540194,35.54967,23.73851,16.67967,12.011684,30.19474,-15.307411,11:03.2
172,5.471326,0.540194,35.54025,23.75112,16.51614,12.112107,30.17976,-15.471296,11:04.2
173,5.471765,0.540194,35.56761,23.77479,16.83822,12.005383,30.32527,-15.391814,11:05.2
174,5.471924,0.540194,35.58159,23.69983,16.96915,12.027532,30.24434,-15.243054,11:06.2
175,5.472095,0.540194,54.67473,23.62432,50.04368,11.893785,29.88432,-15.12647,11:07.2
176,5.472156,0.540194,322.806,23.66544,316.4956,12.013898,29.78146,-15.298528,11:08.2
177,5.472266,0.540194,532.9755,23.63075,522.5785,11.984203,31.271,-15.162826,11:09.2
178,5.472156,0.6388261,529.5027,23.13323,540.6598,12.188607,41.81726,-14.57702,11:10.2
179,5.47212,0.540194,539.5779,23.54236,539.6153,11.881801,31.68168,-15.092861,11:11.2
180,5.471948,0.540194,538.8438,23.57715,538.7475,11.52377,31.79497,-15.006849,11:12.2
181,5.471887,0.540194,538.3536,23.65425,538.2869,11.653847,31.82007,-15.18137,11:13.2
182,5.471875,0.540255,537.9192,23.67018,537.8098,11.470926,31.64731,-15.284053,11:14.2
183,5.4719,0.540194,537.7724,23.65847,537.8544,11.271814,31.92631,-15.12428,11:15.2
184,5.471631,0.5404992,538.3362,23.66157,538.3151,11.525191,31.97463,-15.24286,11:16.2
185,5.471497,0.540194,538.468,23.62491,538.4705,11.946325,31.84055,-15.389718,11:17.2
186,5.471411,0.540194,538.5393,23.60883,538.5312,11.898962,32.02431,-15.263691,11:18.2
187,5.47135,0.540194,538.6884,23.64841,538.7049,11.658555,31.91536,-15.302072,11:19.2
188,5.471326,0.540194,538.8928,23.6606,538.8979,11.680424,31.75062,-15.265411,11:20.2
189,5.471277,0.540194,538.8932,23.66693,538.8932,11.955445,31.91193,-15.189227,11:21.2
190,5.471314,0.6388139,527.6408,23.17557,538.7313,12.050024,42.0266,-14.692974,11:22.5
191,5.47124,0.540194,538.4475,23.6458,538.4516,11.978645,32.0124,-15.220911,11:24.1
192,5.471216,0.5403161,537.9218,23.62583,537.9466,12.013971,32.01128,-15.06657,11:24.2
193,5.471192,0.540194,537.7857,23.65476,537.6973,12.078382,31.97116,-15.168812,11:25.2
194,5.471253,0.5403161,537.7573,23.64449,537.7178,11.992884,31.87935,-15.29505,11:26.2
195,5.471118,0.540194,537.7458,23.61276,537.7465,11.821087,31.87311,-15.310062,11:27.2
196,5.471204,0.540194,538.0628,23.61382,538.0431,11.895719,31.97101,-15.249037,11:28.2
197,5.471118,0.540194,538.5545,23.58034,538.5508,12.01382,31.94372,-15.00562,11:29.2
198,5.471155,0.540194,538.4867,23.62674,538.4967,11.981977,31.97053,-15.148415,11:30.2
199,5.471143,0.540194,538.166,23.69443,538.3112,11.980527,31.93117,-15.250663,11:31.2
200,5.471082,0.6388139,527.134,23.25371,538.2723,12.135825,42.10522,-14.793876,11:32.2
201,5.471155,0.540194,538.3931,23.67221,538.3358,12.011319,31.97744,-15.173001,11:33.2
202,5.471094,0.540194,538.6144,23.62535,538.5425,11.546348,31.91281,-14.904475,11:34.2
203,5.471179,0.540194,538.266,23.66779,538.2869,11.484467,31.85631,-14.930153,11:35.2
204,5.471082,0.540194,537.9734,23.66369,537.9655,12.121368,31.79765,-15.200748,11:36.2
