Order Number,Carrier ID,Actual Heat,Target Heat,Actual Time,Target Time,Full Station Time,World Time
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:50.599905
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:50.844557
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:51.086199
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:51.336866
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:51.577506
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:51.820152
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:52.062797
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:52.304440
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:52.553102
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:52.803768
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:53.048420
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:53.306105
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:53.540729
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:53.790393
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:54.035044
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:54.288719
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:54.536382
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:54.778021
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:55.030693
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:55.273338
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:55.519996
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:55.761638
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:56.003281
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:56.250939
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:56.501606
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:56.747260
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:56.991911
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:57.429075
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:58.791699
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:58.816766
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:58.877928
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:59.121576
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:59.319102
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:59.563754
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:09:59.826452
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:00.067092
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:00.312746
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:00.555391
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:00.807061
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:01.049706
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:01.305387
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:01.552043
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:01.804716
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:02.055381
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:02.301036
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:02.549696
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:02.798358
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:03.050029
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:03.294679
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:03.542338
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:03.783981
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:04.044674
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:04.287320
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:04.533976
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:04.783639
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:05.034308
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:05.282968
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:05.525615
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:05.783300
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:06.036974
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:06.277616
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:06.524271
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:06.782959
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:07.043654
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:07.286299
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:07.535962
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:07.775600
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:08.017243
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:08.258886
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:08.501531
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:08.748187
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:08.998855
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:09.242502
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:09.485148
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:09.731805
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:09.993501
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:10.235143
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:10.478792
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:10.732467
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:10.984135
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:11.232798
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:11.473438
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:11.720094
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:11.961738
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:12.203380
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:12.451038
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:12.693684
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:12.936329
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:13.178976
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:13.432651
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:13.679306
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:13.930977
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:14.173622
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:14.416268
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:14.661920
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:14.914593
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:15.167265
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:15.406903
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:15.652556
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:15.894199
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:16.139853
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:16.389517
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:16.637176
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:16.878819
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:17.121465
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:17.374136
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:17.619790
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:17.865442
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:18.122127
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:18.363768
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:18.602405
   0,3,  28,50,5000,5,     0  ,2020-09-08 14:10:18.856078
